title,content,options,correctAnswer,boilerplateCode,testCases
"Probability - Coin Toss","A fair coin is tossed twice. What is the probability of getting at least one head?","[""1/4"", ""1/2"", ""3/4"", ""1""]",2,,
"Probability - Balls in Bag","A bag contains 4 red and 6 black balls. One ball is drawn at random. What is the probability that it is red?","[""2/5"", ""3/5"", ""1/2"", ""3/10""]",0,,
"Probability - Two Dice","Two dice are rolled together. What is the probability that the sum of the numbers on both dice is 7?","[""1/6"", ""1/9"", ""5/36"", ""1/12""]",0,,
"Probability - Card Draw","A card is drawn at random from a well-shuffled standard deck of 52 cards. What is the probability that it is a king?","[""1/13"", ""1/26"", ""4/13"", ""1/4""]",0,,
"Probability - Union of Events","If P(A) = 0.4, P(B) = 0.5 and P(A and B) = 0.2, what is P(A or B)?","[""0.6"", ""0.7"", ""0.9"", ""1.0""]",1,,
"Blood Relation - Photograph","Pointing to a photograph, a man said: She is the daughter of my grandfather's only son. How is the woman related to the man?","[""Sister"", ""Mother"", ""Aunt"", ""Daughter""]",0,,
"Blood Relation - Family Tree","A is B's brother. C is B's mother. D is C's father. E is D's mother. How is A related to D?","[""Grandson"", ""Grandfather"", ""Son"", ""Daughter""]",0,,
"Blood Relation - Introduction","Introducing a woman, a man said: Her husband is the only son of my mother. How is the woman related to the man?","[""Sister"", ""Wife"", ""Mother"", ""Sister-in-law""]",1,,
"Blood Relation - Grandfather","P is Q's father. Q is R's brother. S is R's mother. T is S's father. How is P related to T?","[""Son"", ""Son-in-law"", ""Grandson"", ""Father""]",1,,
"Blood Relation - Uncle","A and B are sisters. C is A's son. D is B's brother. How is D related to C?","[""Father"", ""Cousin"", ""Uncle"", ""Brother""]",2,,
"Node.js - npm","What does npm stand for in the Node.js ecosystem?","[""Node Package Manager"", ""New Program Module"", ""Node Process Manager"", ""Network Package Manager""]",0,,
"Node.js - Async Handling","Which of the following can be used to handle asynchronous operations in Node.js?","[""Callbacks only"", ""Promises only"", ""Async/Await only"", ""Callbacks, Promises, and Async/Await""]",3,,
"Python - Function Definition","Which keyword is used to define a function in Python?","[""function"", ""def"", ""func"", ""define""]",1,,
"Python - Data Types","What is the output of print(type([])) in Python?","[""<class 'list'>"", ""<class 'array'>"", ""<class 'tuple'>"", ""<class 'dict'>""]",0,,
"Java - Inheritance","Which keyword is used for a class to inherit another class in Java?","[""implements"", ""extends"", ""inherits"", ""super""]",1,,
"Coding - Sum of Two Numbers","Write a function sum(a, b) that returns the sum of the two numbers a and b.",,,"function sum(a, b) { }","[{""input"":""2,3"", ""expectedOutput"":""5"", ""isHidden"":false}, {""input"":""10,-4"", ""expectedOutput"":""6"", ""isHidden"":true}]"
"Coding - DFS Traversal","Write a function dfsTraversal(input) that performs a Depth-First Search on a graph. The function receives one argument, an array [graph, start]: graph is an adjacency list where graph[i] is an array of neighbor node indices reachable from node i, and start is the starting node index. Return an array of node indices in the order they are visited (visiting neighbors in the order they appear in the adjacency list, and never revisiting a node).","","","function dfsTraversal(input) { const [graph, start] = input; }","[{""input"":""[[[1,2],[3],[],[]],0]"", ""expectedOutput"":""[0,1,3,2]"", ""isHidden"":false}, {""input"":""[[[1],[2],[0]],0]"", ""expectedOutput"":""[0,1,2]"", ""isHidden"":true}]"
